"sku","cost","Edmonton"
nmkrqm4zv3,1539,4
38vbrowppn,20883,4
er59ra5y53,11003,8
3pl7gxaj8n,18254,5
ek4pjqv243,15950,11
nb6vok9b93,4421,8
3w7gb479mn,9187,3
nq89bajywn,48,50
nmm68xg4vn,1247,5
e2j9v64473,1415,11
er2xg78k83,51434,1
34qy67loje,2857,6
3a78l5zz73,13674,18
j3jjra76o3,9315,4
nb8wjodr2n,1317,50
e2m7gpzm73,5462,1
3754zwrope,17246,3
34xzaplxkn,7474,9
e5g678ywr3,582,6
e2bqwgzrje,5609,2
edoloykpd3,2279,23
nb7r9bzqae,3116,16
nm24mko6j3,13333,2
3a74b2za83,594,10
3lokp7zoo3,24928,6
3x6vd5rmd3,27013,4
nqlovmqlm3,11895,2
394b8w5d7e,8778,3
nv9mzbakqe,8585,1
34g6ak55p3,10394,14
e2aazzqdk3,2032,1
nv9yzamppe,48975,4
ery6byb87n,9954,50
ek97dyyd4n,1289,10
83zkxqb663,4262,8
37ry85a4vn,7868,9
ekygld8qd3,228,50
nygbqyb6ln,5384,3
3wxyp54qqe,78526,18
nmq7wy9xd3,86491,2
er46y66d5n,6022,25
23lz8bx67n,2613,19
nvoy2qlp2e,4721,3
394ab4ovbe,6095,1
e2dk4qo863,7069,20
349z7b6zkn,3643,1
3668q64zo3,9976,2
3ayd2j8kv3,158,50
3j7rykkwo3,968,1
e22y4pjoae,27810,3
3lol4vqd73,2796,3
3pl2pkka8n,38274,16
er6dg7qq9e,765,3
3lowy6rvy3,182,32
nvogaqr6qe,596,11
38wbvdaad3,2133,50
39bk4k4mpn,19968,50
3j8wkdq5we,618,19
ng8lqjajp3,61527,10
37x6rar5jn,1582,9
e5pzj5jl43,559,12
3w752x48xn,5027,2
368r7xq9jn,12875,3
3j7ogozdo3,825,50
3pq5lqypze,2952,2
346vrzk4yn,7462,12
nbmkl5zy2e,24146,2
3wklv862m3,5181,4
3o4glpkqze,7741,1
ngvrk655zn,22869,36
e5ppdjyvb3,908,3
ng8wkgjkv3,18896,50
nvvxlpzjqn,2935,5
3zdr9aw26n,7722,5
3pyq9dqy93,8638,5
375w6x9kje,33586,1
396djwd4g3,125,8
e2mbyvjqa3,7305,4
e2vqyrwlk3,5613,4
3l82jkyozn,60806,1
38226b2y43,2430,15
er2vbm2p93,1748,5
x36allx68e,5341,10
x36y7rb4ke,44605,33
erga2rlajn,860,2
3zz796jm43,6277,3
3zdxpam97n,4164,5
3p7p7xrkb3,11427,5
3axq5v92bn,17377,31
ergwdjjgln,12733,3
3lm299gzde,7019,8
39lq9y9873,42725,4
l34ww4azje,21180,2
nmo6j2jr9e,1406,12
ed888d98gn,5821,1
3alwj6r57n,38482,3
nvrw8g5jje,3149,13
nyawj5w2ln,40492,8
e5zylv269e,55227,4
nyym6gkqgn,4907,1
nmzaj48od3,5350,38
ngbqd47zp3,32666,3
nqya68alme,10751,13
3l6lyjqyb3,4214,19
ek9j224yrn,1790,1
3jm5wkmyw3,36,50
3pyly6ra83,12272,5
38zk22kw53,6121,2
38j7lddp4n,4534,2
3py8b6bxb3,1810,12
ek27x6v7de,45887,1
nm4p44aqjn,7682,14
3py48d2az3,2974,25
edqmkjpdgn,2482,1
3l6jla72b3,4451,17
nq6zw7agk3,2694,1
37bxl2gd9e,12889,1
3orvjkva63,39039,8
3aqax2lkme,4844,5
3xo7bd7o43,910,3
36y7g9x79e,544,19
39w4w7a6pn,824,19
nyab2p6wgn,164,50
396gr7pwp3,28935,50
ekgap9ky23,9813,3
39j7vzrd7e,11021,1
nm958mv99e,12295,5
e25yqqmgje,84,18
e25y298v6e,3158,10
nmqa7o5gx3,5819,14
3w78myoxbn,5304,2
3obdpzrzzn,7779,50
3lmwdvavze,4987,3
372a4oppwe,74435,8
3pabw4o7b3,6391,9
nykj8kdod3,3539,1
3l8kb7xgon,6277,50
3okr78v4kn,117955,23
m39byw8jdn,2287,1
nbo8pbpo93,127,50
3zgg622p4n,26040,5
3wqrmll4y3,1657,9
erbqk7od93,7451,7
3pyjwwalg3,2812,3
37mpbgpz93,6022,26
er7r9xdw7n,1572,7
39zd2wpmbn,4751,6
nmoogy8pke,10827,10
edx4877mg3,53657,1
